sample	total	protocol	CHR13	post.t13	BF.13	factor.13	CHR18	post.t18	BF.18	factor.18	CHR21	post.t21	BF.21	factor.21	post.13	post.18	post.21
Individual_106	37484	Protocol_5	0.03606872265499947	3.634141972874429e-21	-47.063913915729486	1.013459954345316	0.028598868850709638	7.350249261615444e-32	-71.6879887500148	1.0069122309830738	0.012778785615195817	1.3652926622277559e-24	-54.95067342163909	0.9753903989705668	1	1	1
Individual_110	1053	Protocol_5	0.039886039886039885	6.098321897515509e-5	-9.704850845326991	1.120719038169721	0.03133903133903134	8.94463322939735e-5	-9.32178230137956	1.103388183887892	0.011396011396011397	1.78489962749733e-4	-8.630799683525561	0.8698447909643839	0.9999390167810249	0.9999105536677059	0.9998215100372504
Individual_111	2826	Protocol_5	0.022292993630573247	5.4807226390161557e-14	-30.534954341216935	0.6263891439451784	0.026185421089879687	3.0487815475496535e-8	-17.30593869527033	0.9219392874060383	0.014508138711960368	2.0385110659690037e-4	-8.497916828340545	1.107389984675199	0.9999999999999449	0.9999999695121846	0.9997961488934028
Individual_112	6660	Protocol_5	0.03423423423423423	5.132859987070354e-12	-25.995358109734543	0.9619144485912315	0.02702702702702703	2.237559537605217e-12	-26.825635336127878	0.9515706450728504	0.015615615615615615	3.0000318263750074e-4	-8.111417426380083	1.191922456807953	0.9999999999948672	0.9999999999977622	0.9996999968173621
Individual_113	9502	Protocol_7	0.040623026731214484	1.912040465424834e-11	-24.680265044585003	1.1414269146755784	0.03146705956640707	4.708879020931834e-11	-23.778986142987694	1.107895816295616	0.012628920227320563	2.0600964212639284e-9	-20.000513046741414	0.9639513417022691	0.9999999999808793	0.9999999999529114	0.9999999979399035
Individual_114	1746	Protocol_5	0.026345933562428408	2.7657604937027248e-9	-19.705950194093266	0.7402687608529012	0.025200458190148912	4.788561286057947e-7	-14.551865163612408	0.8872606014768616	0.014891179839633447	5.613139400572537e-4	-7.484668729482815	1.1366270851003675	0.9999999972342399	0.9999995211438716	0.9994386860599426
Individual_115	10761	Protocol_5	0.030015797788309637	1.4278485095259533e-21	-47.9981181803512	0.8433847061107955	0.027506737292073227	4.804412479249706e-16	-35.271826725747225	0.9684603387080993	0.012731158814236596	4.587024475130099e-10	-21.502619378121178	0.9717550985759764	1	0.9999999999999996	0.9999999995412976
Individual_116	3382	Protocol_7	0.03429923122412774	5.1150370924430905e-11	-23.69625137180653	0.9637407357885943	0.027202838557066823	2.4334706752756907e-9	-19.83394733472537	0.9577606374417452	0.013897102306327618	6.418895803596088e-5	-9.653615164251983	1.0607502599452574	0.9999999999488498	0.9999999975665292	0.9999358110419643
Individual_117	4545	Protocol_5	0.034323432343234324	6.270999219511431e-10	-21.189915222212466	0.9644207394942833	0.029042904290429043	2.6493283071562143e-8	-17.4463745785873	1.0225458813060069	0.009680968096809682	8.048469987003028e-9	-18.6377838192582	0.7389374560865757	0.9999999993729003	0.9999999735067168	0.9999999919515297
Individual_118	1663	Protocol_5	0.04209260372820205	1.6075106915519776e-4	-8.735492779834448	1.182719129277126	0.02345159350571257	1.9370942557391243e-7	-15.456906413326895	0.8256863745280355	0.010823812387251955	3.645865878032914e-5	-10.219295116124863	0.8261694812557092	0.9998392489308446	0.9999998062905743	0.9999635413412198
Individual_119	3405	Protocol_7	0.03994126284875184	8.244900125655538e-8	-16.311085818887722	1.1222706944843677	0.027019089574155653	1.739322575838691e-9	-20.169770122017642	0.9512911823283355	0.013215859030837005	2.434778591709286e-5	-10.623045291916947	1.0087517234421766	0.9999999175509989	0.9999999982606775	0.9999756522140827
Individual_121	1187	Protocol_5	0.031171019376579612	8.317497521593263e-7	-13.999733388272734	0.8758441538518574	0.03622577927548441	8.385573368049069e-4	-7.082988689707552	1.2754413616772577	0.013479359730412805	3.792331789389586e-4	-7.876979989103143	1.0288644368272915	0.9999991682502478	0.9991614426631954	0.9996207668210609
